"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.40046143978866e-130,1.11825180971435,0.416,0.251,7.85268560290395e-126,"0","MAPK10"
4.55150118650221e-130,1.12300747307088,0.337,0.178,1.05107816899896e-125,"0","RASL10B"
5.45866727994986e-130,0.847433890292215,0.562,0.388,1.26057003495882e-125,"0","PLK2"
2.70855047955287e-129,0.568368138024428,0.721,0.545,6.25485562243144e-125,"0","MEIS3"
9.26035824139344e-128,0.779547323503973,0.524,0.335,2.13849452868499e-123,"0","GDF6"
1.23673519999388e-124,0.37949599349356,0.933,0.851,2.85599259734587e-120,"0","PBX1"
1.57723415116911e-124,0.334116166304217,0.98,0.945,3.64230682529483e-120,"0","EIF4A2"
5.89466154395506e-124,0.273363671599125,0.999,0.988,1.36125419034554e-119,"0","EID1"
7.31854726630759e-124,1.19834028185946,0.26,0.123,1.69007212020841e-119,"0","MSX1"
1.45882228842543e-122,0.912929184759995,0.525,0.361,3.36885831066085e-118,"0","TENM3"
1.12460250646777e-121,0.759795601928904,0.497,0.32,2.59704456818601e-117,"0","ADAMTS1"
5.22193450896825e-120,0.369783714233205,0.956,0.93,1.20590133615604e-115,"0","SEC61B"
9.33125373319508e-119,0.574958566884133,0.399,0.229,2.15486642460674e-114,"0","SLC9A3R2"
1.97068363357056e-118,1.01679799091208,0.36,0.202,4.5508997150045e-114,"0","INKA1"
2.6993760357423e-118,0.772886125615323,0.558,0.388,6.2336690793397e-114,"0","HOXB5"
3.29979478439134e-118,0.593630906086494,0.731,0.601,7.62021609559492e-114,"0","PHACTR2"
3.7081388071696e-118,0.992891173460575,0.52,0.369,8.56320494739675e-114,"0","ENC1"
4.27286086332395e-117,1.04800263469956,0.317,0.169,9.867317591674e-113,"0","HMCN1"
5.11291154938864e-117,0.741731271282496,0.499,0.32,1.18072466410032e-112,"0","CNTFR"
1.26768719920392e-116,0.557694656195643,0.762,0.602,2.92747004912161e-112,"0","FLRT2"
1.70800830626553e-116,1.15582816119581,0.307,0.163,3.944303581659e-112,"0","HAS2"
3.16384042275914e-116,0.527682562349183,0.823,0.757,7.30625668827769e-112,"0","CHD9"
4.01229857657898e-115,0.458011415177582,0.868,0.718,9.26560110289385e-111,"0","FN1"
1.06590320993412e-114,0.437850816415922,0.866,0.775,2.46149028270085e-110,"0","PNRC1"
2.38609839002222e-114,0.251801188870699,0.999,0.99,5.51021701207831e-110,"0","MT-CO3"
2.61101772511618e-113,1.10978468385659,0.276,0.138,6.0296232326108e-109,"0","CYSLTR2"
3.62091630689648e-113,0.49597423002616,0.632,0.45,8.36178202751604e-109,"0","PLAGL1"
3.01283619391612e-111,0.934271070359448,0.408,0.247,6.9575426226105e-107,"0","NFKBIZ"
1.4378051365368e-110,0.806639207293289,0.536,0.379,3.32032340180444e-106,"0","FAM110B"
1.88499617569044e-109,0.905460939105952,0.504,0.352,4.35302166852193e-105,"0","TRPS1"
8.63865118233983e-108,0.728236299219007,0.585,0.439,1.99492371753774e-103,"0","CLEC11A"
1.77303991649629e-107,0.836581824299714,0.496,0.342,4.09448107916488e-103,"0","ROBO1"
1.8876869268191e-107,0.489064406873043,0.775,0.678,4.35923542010335e-103,"0","NDN"
2.41022103893678e-106,1.01520182190293,0.325,0.18,5.56592344521671e-102,"0","LRRN3"
2.3609582778753e-105,0.305693781023534,0.979,0.952,5.45216095109742e-101,"0","COMMD6"
2.51868823352199e-105,0.353191367068267,1,0.998,5.81640673767233e-101,"0","RPS26"
4.02579918416506e-105,0.752034119842393,0.498,0.337,9.29677805599238e-101,"0","AC009041.2"
1.44181551442962e-103,0.488627664656431,0.803,0.737,3.32958456747231e-99,"0","BNIP3L"
4.07055241906822e-103,1.08600172460602,0.262,0.134,9.40012670135424e-99,"0","TGFB1I1"
2.84792609166357e-102,0.3558259910533,0.663,0.482,6.57671572347869e-98,"0","S100A11"
6.72219112825535e-102,0.992220865535523,0.319,0.178,1.55235559724801e-97,"0","DDX3Y"
1.95704812256688e-101,0.254122651055727,0.998,0.99,4.51941122944369e-97,"0","EIF3E"
2.12702325369231e-101,0.593289975175292,0.654,0.515,4.91193479975164e-97,"0","DUSP1"
8.54253525443987e-101,0.967213459780101,0.312,0.172,1.9727276663078e-96,"0","SEZ6L2"
3.89180481376101e-100,0.323804870077962,0.961,0.922,8.9873448564183e-96,"0","SRSF5"
2.00441697599251e-98,0.739392095781797,0.517,0.364,4.62880012265952e-94,"0","KANK2"
2.41537382076067e-98,1.19870172925204,0.262,0.138,5.57782276428261e-94,"0","PDGFD"
6.96753756053539e-98,0.742379203051771,0.495,0.336,1.60901344885444e-93,"0","DDR2"
7.63112187594779e-98,1.08233698519845,0.273,0.145,1.76225497481262e-93,"0","LINC00632"
3.00870080904217e-96,0.629498766742733,0.413,0.263,6.94799277832108e-92,"0","TUBB2A"
7.14629882875309e-96,0.859879592258737,0.463,0.319,1.65029478852395e-91,"0","ANTXR1"
4.21609727066703e-94,0.891540189498799,0.326,0.188,9.73623342715137e-90,"0","SLC8A1"
7.53582103988948e-94,1.15912118916734,0.256,0.136,1.74024715274168e-89,"0","GSTM5"
9.99248549769929e-94,1.10693930989194,0.31,0.18,2.3075646759837e-89,"0","CAMK4"
4.98815871717125e-93,0.587708664059724,0.694,0.599,1.15191549255636e-88,"0","SEC31A"
1.92134168684413e-92,0.565055816009556,0.616,0.463,4.43695435742915e-88,"0","LTBP4"
4.25907615662488e-92,0.574640504584359,0.474,0.31,9.83548456849382e-88,"0","HES4"
1.10351765180372e-91,0.367477861012083,0.917,0.873,2.54835331331034e-87,"0","SEC62"
4.2468554640167e-91,0.883883702981185,0.491,0.357,9.80726332305376e-87,"0","LIMA1"
7.40056866953461e-90,0.603632768147905,0.544,0.39,1.70901332285563e-85,"0","MRC2"
9.98328533627313e-90,0.66788431686928,0.516,0.365,2.30544008270555e-85,"0","DACT3"
1.21573571698165e-88,0.84471737608352,0.377,0.236,2.80749849122573e-84,"0","GLIPR2"
8.43799270180495e-87,0.715160157841825,0.275,0.149,1.94858565462782e-82,"0","APCDD1"
8.53062644147659e-85,0.760577140010854,0.473,0.331,1.96997756413019e-80,"0","PLXDC2"
1.34012145787433e-84,0.419734187989913,0.839,0.777,3.0947424826692e-80,"0","C4orf48"
1.48146017900325e-84,0.513644397401704,0.777,0.718,3.42113599137221e-80,"0","PPP1R12A"
7.02027965850372e-84,0.452018314784617,0.763,0.691,1.62119318153826e-79,"0","SH3BGRL"
1.86450882196006e-83,0.585211948694778,0.642,0.528,4.30571022255237e-79,"0","WLS"
1.45410522661293e-81,0.859701024732278,0.406,0.272,3.35796519981723e-77,"0","ADGRL3"
2.98163710213464e-81,0.655811505164989,0.541,0.405,6.88549455995953e-77,"0","CXXC4"
