clone.id,cell.barcode
2,3H+10A+3A
2,3E+10A+3A
2,14K+10A+3A
2,8H+10A+3A
2,15E+10A+3A
2,19E+10A+3A
2,17G+10A+1A
2,5M+10A+3A
2,13B+10A+3A
2,15K+10A+1A
2,6G+10A+1A
2,7O+10A+3A
2,24M+10A+3A
2,4J+10A+1A
2,7M+10A+3A
2,6F+10A+3A
2,2H+10A+3A
2,6K+10A+3A
2,10A+10A+3A
2,4L+10A+3A
2,4N+10A+3A
2,14J+10A+3A
2,18B+10A+3A
2,1D+10A+3A
2,22C+10A+1A
2,14A+10A+3A
2,10E+10A+3A
2,21K+10A+3A
2,5D+10A+3A
2,16L+10A+3A
2,1M+10A+1A
2,14H+10A+3A
2,22F+10A+1A
2,9A+10A+3A
2,20F+10A+1A
2,9K+10A+3A
2,5I+10A+3A
2,20C+10A+3A
2,17O+10A+3A
2,19F+10A+3A
2,13I+10A+3A
2,4C+10A+1A
2,21H+10A+3A
2,15I+10A+3A
2,22M+10A+1H
2,9K+10A+1H
2,14B+10A+1H
2,7J+10A+1H
2,9B+10A+1H
2,22P+10A+3A
2,16J+10A+1H
2,2A+10A+1H
2,1H+10A+1H
2,7K+10A+1H
2,18L+10A+1H
2,4C+10A+1H
2,12E+10A+1H
2,11I+10A+1H
2,13K+10A+1H
2,8L+10A+1H
2,11B+10A+1H
2,24N+10A+1H
2,8B+10A+3A
2,18N+10A+1H
2,13H+10A+1H
2,8O+10A+1H
2,23M+10A+1H
2,12I+10A+1H
2,11N+10A+1H
2,8J+10A+1H
2,12P+10A+1H
2,15B+10A+1H
2,2D+10A+1H
2,7C+10A+3A
2,13N+10A+1H
2,8P+10A+1H
2,22E+10A+1H
2,6G+10A+1H
2,2F+10A+1H
2,21O+10A+1A
2,3B+10A+1H
2,4G+10A+3A
2,24A+10A+1H
2,2M+10A+3A
2,7C+10A+1H
2,20B+10A+1A
2,22B+10A+1H
2,14G+10A+1H
2,19O+10A+1H
2,1C+10A+1H
2,22D+10A+1H
2,14F+10A+1H
2,15D+10A+1H
2,2N+10A+1H
2,6H+10A+1H
2,10J+10A+1H
2,6P+10A+1H
2,2M+10A+1H
2,18D+10A+1H
2,20G+10A+1H
2,7D+10A+1A
2,1K+10A+1H
2,9P+10A+1H
2,3N+10A+1H
2,1O+10A+1H
2,9E+10A+1H
2,3I+10A+1H
2,12D+10A+1H
2,13E+10A+1H
2,22I+10A+1A
2,6K+10A+1H
2,24G+10A+1H
2,10I+10A+1A
2,17E+10A+1H
2,6H+10A+3A
2,11O+10A+1H
2,7E+10A+3A
2,3A+10A+1H
2,2O+10A+1H
2,8A+10A+1H
2,7B+10A+1H
2,9E+10A+3A
2,15F+10A+1H
2,12J+10A+1H
2,17M+10A+1H
2,10G+10A+1H
2,22F+10A+1H
2,24B+10A+1H
2,13F+10A+1H
2,7O+10A+1H
2,4H+10A+1H
2,20H+10A+1H
2,16O+10A+1H
2,5J+10A+1H
2,8J+10A+1A
2,21M+10A+3A
2,22M+10A+1A
2,11G+10A+1H
2,21F+10A+1H
2,23N+10A+1H
2,3O+10A+1H
2,19D+10A+1H
2,17I+10A+3A
2,5E+10A+1H
2,22N+10A+3A
2,24C+10A+1A
2,21D+10A+1H
2,1I+10A+1H
2,15I+10A+1H
2,16N+10A+1H
2,20J+10A+1H
2,8F+10A+1H
2,9J+10A+1H
2,11M+10A+1H
2,1M+10A+1H
2,17C+10A+1H
2,5L+10A+1H
2,24E+10A+1H
2,3B+10A+3A
2,6P+10A+1A
2,21P+10A+1H
2,13K+10A+3A
2,18M+10A+1H
2,6L+10A+1H
2,6O+10A+1H
2,17J+10A+1H
2,20C+10A+1A
2,4O+10A+1H
2,17H+10A+1H
2,2I+10A+1H
2,4M+10A+1H
2,18F+10A+1H
2,11G+10A+1A
2,5P+10A+1H
2,8N+10A+1H
2,13F+10A+1A
2,7D+10A+1H
2,8D+10A+1H
2,12A+10A+1H
2,18E+10A+1H
2,3E+10A+1A
2,16C+10A+1H
2,20L+10A+3A
2,17J+10A+1A
2,20G+10A+3A
2,5H+10A+1A
2,21O+10A+1H
2,24J+10A+3A
2,23O+10A+1H
2,7M+10A+1H
2,17D+10A+1H
2,12K+10A+3A
2,18H+10A+1H
2,5F+10A+3A
2,16I+10A+3A
2,24P+10A+1H
2,5J+10A+1A
2,6E+10A+3A
2,2B+10A+1H
2,23L+10A+1H
2,12H+10A+1H
2,23L+10A+3A
2,4G+10A+1H
2,11D+10A+1H
2,13P+10A+1H
2,23P+10A+1H
2,10D+10A+1H
