"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CNR2",2.05413108644583e-05,3.43256581975739,0.058,0.007,0.482453768273533,"12","CNR2"
"STK17B",2.05413108644583e-05,3.43256581975739,0.058,0.007,0.482453768273533,"12","STK17B"
"IRAK3",2.05413108644583e-05,3.43256581975739,0.058,0.007,0.482453768273533,"12","IRAK3"
"IL15",2.06091073529029e-05,3.37244482731982,0.058,0.007,0.484046104397631,"12","IL15"
"THRB-AS1",2.06771078115329e-05,3.37244482731982,0.058,0.007,0.485643231169473,"12","THRB-AS1"
"MEAF6",2.11166711755813e-05,2.48162663820828,0.115,0.024,0.495967255900879,"12","MEAF6"
"SCP2",2.12719474314937e-05,2.46359271537802,0.115,0.024,0.499614229323493,"12","SCP2"
"COL25A1",2.16481190605001e-05,2.09785813584125,0.173,0.047,0.508449372373965,"12","COL25A1"
"C21orf62-AS1",2.18164980857609e-05,2.68947412279435,0.096,0.017,0.512404090540267,"12","C21orf62-AS1"
"RSPO21",2.27217140994717e-05,3.00530201814529,0.077,0.012,0.533664899054292,"12","RSPO2"
"TEC",2.28615208871467e-05,2.65623779332042,0.115,0.024,0.536948541076415,"12","TEC"
"SLC8B11",2.30526599495977e-05,2.47258149860527,0.115,0.024,0.5414378242362,"12","SLC8B1"
"IL1RAPL13",2.41245854675983e-05,1.84555839305121,0.269,0.099,0.566614138877481,"12","IL1RAPL1"
"LINC01088",2.43406602927476e-05,2.68947412279435,0.096,0.018,0.571689088295763,"12","LINC01088"
"SNAP25-AS1",2.44259954016361e-05,2.66522657654767,0.096,0.018,0.573693353998226,"12","SNAP25-AS1"
"AC005599.1",2.50664841888775e-05,4.78552081026538,0.038,0.003,0.588736514144166,"12","AC005599.1"
"NEMP2",2.59332302457781e-05,4.04855521609918,0.038,0.003,0.609093778782589,"12","NEMP2"
"GABRA4",2.59332302457781e-05,4.04855521609918,0.038,0.003,0.609093778782589,"12","GABRA4"
"TECRL",2.59332302457781e-05,4.04855521609918,0.038,0.003,0.609093778782589,"12","TECRL"
"MGC328051",2.59332302457781e-05,4.04855521609918,0.038,0.003,0.609093778782589,"12","MGC32805"
"AC100801.1",2.59332302457781e-05,4.04855521609918,0.038,0.003,0.609093778782589,"12","AC100801.1"
"AC107032.2",2.59332302457781e-05,4.04855521609918,0.038,0.003,0.609093778782589,"12","AC107032.2"
"AC090518.1",2.59332302457781e-05,4.04855521609918,0.038,0.003,0.609093778782589,"12","AC090518.1"
"CSTB",2.59332302457781e-05,4.04855521609918,0.038,0.003,0.609093778782589,"12","CSTB"
"ATP12A1",2.60135611760931e-05,3.98715467143503,0.038,0.003,0.610980511342898,"12","ATP12A"
"NUDT7",2.60135611760931e-05,3.92826098238146,0.038,0.003,0.610980511342898,"12","NUDT7"
"LINC004331",2.62427964587777e-05,3.40219217071388,0.058,0.007,0.616364560427311,"12","LINC00433"
"AL136418.1",2.62427964587777e-05,3.40219217071388,0.058,0.007,0.616364560427311,"12","AL136418.1"
"CYP2U1-AS1",2.63275375629981e-05,3.37244482731982,0.058,0.007,0.618354874742136,"12","CYP2U1-AS1"
"EYA4",2.66355502726217e-05,2.96923276343777,0.077,0.012,0.625589169253065,"12","EYA4"
"AC008050.1",2.7781379120117e-05,2.40219217071388,0.115,0.024,0.652501251394187,"12","AC008050.1"
"SNHG311",2.80928092480797e-05,2.87564635621804,0.096,0.018,0.659815810809648,"12","SNHG31"
"TRPM6",2.89319626670051e-05,3.23226716927156,0.077,0.012,0.679525007159948,"12","TRPM6"
"KCNJ6",2.90906552094662e-05,2.23896182184557,0.135,0.032,0.683252218904733,"12","KCNJ6"
"TEX14",3.0122527647358e-05,2.41080530101858,0.115,0.024,0.707487806853497,"12","TEX14"
"ESPN2",3.10260125700205e-05,2.23896182184557,0.135,0.032,0.728707957232071,"12","ESPN"
"AL135926.1",3.14158009585115e-05,2.8828180116203,0.077,0.012,0.737862917112559,"12","AL135926.1"
"HS3ST52",3.16799293486474e-05,2.22161992507206,0.154,0.04,0.744066500611683,"12","HS3ST5"
"ALK2",3.206056824715e-05,1.92604315713164,0.192,0.057,0.753006566420813,"12","ALK"
"RTL9",3.32104786254602e-05,3.37244482731982,0.058,0.007,0.780014511476184,"12","RTL9"
"TENM23",3.32890909988858e-05,1.3446106191231,0.346,0.142,0.78186088029083,"12","TENM2"
"AC073365.1",3.33154419376191e-05,3.34329848166031,0.058,0.007,0.782479784788859,"12","AC073365.1"
"NKAIN21",3.33278561382885e-05,2.1379795736828,0.212,0.069,0.782771357119981,"12","NKAIN2"
"AC016907.2",3.34207063988701e-05,3.31472932946354,0.058,0.007,0.784952131190263,"12","AC016907.2"
"RNF212B",3.3670515951536e-05,3.19707774080926,0.077,0.012,0.790819408153726,"12","RNF212B"
